x[cm]_0	X-CH_0	x[cm]_1	X-CH_1	x[cm]_2	X-CH_2
2.36135E-01	9.76091E-07	1.52340E-01	2.76299E-05	4.24145E-01	2.26055E-05
2.36750E-01	9.99234E-07	1.52786E-01	2.80245E-05	4.24944E-01	2.29245E-05
2.37365E-01	1.02286E-06	1.53231E-01	2.84233E-05	4.25746E-01	2.32472E-05
2.37981E-01	1.04698E-06	1.53675E-01	2.88261E-05	4.26550E-01	2.35731E-05
2.38596E-01	1.07160E-06	1.54119E-01	2.92331E-05	4.27354E-01	2.39016E-05
2.39212E-01	1.09673E-06	1.54563E-01	2.96446E-05	4.28157E-01	2.42328E-05
2.39827E-01	1.12238E-06	1.55007E-01	3.00607E-05	4.28961E-01	2.45667E-05
2.40441E-01	1.14848E-06	1.55452E-01	3.04813E-05	4.29766E-01	2.49038E-05
2.41050E-01	1.17491E-06	1.55896E-01	3.09066E-05	4.30574E-01	2.52454E-05
2.41654E-01	1.20166E-06	1.56340E-01	3.13366E-05	4.31387E-01	2.55919E-05
2.42256E-01	1.22886E-06	1.56784E-01	3.17712E-05	4.32202E-01	2.59423E-05
2.42859E-01	1.25659E-06	1.57228E-01	3.22105E-05	4.33017E-01	2.62959E-05
2.43461E-01	1.28488E-06	1.57672E-01	3.26543E-05	4.33831E-01	2.66528E-05
2.44063E-01	1.31373E-06	1.58115E-01	3.31027E-05	4.34646E-01	2.70131E-05
2.44666E-01	1.34314E-06	1.58559E-01	3.35559E-05	4.35462E-01	2.73776E-05
2.45268E-01	1.37312E-06	1.59002E-01	3.40139E-05	4.36284E-01	2.77481E-05
2.45871E-01	1.40369E-06	1.59446E-01	3.44769E-05	4.37110E-01	2.81249E-05
2.46473E-01	1.43486E-06	1.59890E-01	3.49449E-05	4.37939E-01	2.85064E-05
2.47075E-01	1.46663E-06	1.60333E-01	3.54178E-05	4.38768E-01	2.88920E-05
2.47678E-01	1.49901E-06	1.60777E-01	3.58958E-05	4.39596E-01	2.92819E-05
2.48280E-01	1.53200E-06	1.61220E-01	3.63788E-05	4.40425E-01	2.96761E-05
2.48878E-01	1.56543E-06	1.61663E-01	3.68667E-05	4.41257E-01	3.00761E-05
2.49472E-01	1.59920E-06	1.62107E-01	3.73596E-05	4.42095E-01	3.04843E-05
2.50063E-01	1.63345E-06	1.62550E-01	3.78576E-05	4.42940E-01	3.09003E-05
2.50654E-01	1.66834E-06	1.62993E-01	3.83609E-05	4.43786E-01	3.13223E-05
2.51245E-01	1.70387E-06	1.63436E-01	3.88694E-05	4.44632E-01	3.17497E-05
2.51835E-01	1.74007E-06	1.63879E-01	3.93833E-05	4.45478E-01	3.21826E-05
2.52426E-01	1.77693E-06	1.64322E-01	3.99024E-05	4.46324E-01	3.26213E-05
