
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
            A1CTCCVC    10     8     0     0
            A2CTCCVC    14    10     0     0
            A2CVCCTC    14    10     0     0
            A2CTCCVC    14    10     0     0
            A2CVCCTC    14    10     0     0
           MEXA2CYC5    14    12     0     0
          MEXRA2CYC5    14    11     0     0
         MEXFLUORENE    14    12     0     0
          MEFLUORENE    14    11     0     0
         CH2FLUROENE    14    10     0     0
            C13H8CH3    14    11     0     0
                DIME    12    12     0     0
               RDIME    12    11     0     0
              CXC4H5     4     5     0     0
               C10H6    10     6     0     0
               C10H6    10     6     0     0
               C10H7    10     7     0     0
               C10H7    10     7     0     0
               C10H7    10     7     0     0
             A2C2H3A    12    10     0     0
             A2C2H3B    12    10     0     0
                N6X1    12     9     0     0
                N6X2    12     9     0     0
                N7X1    12     9     0     0
                N7X2    12     9     0     0
                N8X1    12     9     0     0
                N8X2    12     9     0     0
               N11X1    12     9     0     0
               N11X2    12     9     0     0
               N14X1    12     9     0     0
               N14X2    12     9     0     0
               N16X2    12     9     0     0
               N17X2    12     9     0     0
            NXSHARED    12     9     0     0
                 AN1    12     9     0     0
                 AN2    12     9     0     0
                CBAN    12     8     0     0
                CBBN    12     8     0     0
              N1XCS9    12     7     0     0
             N1XCS10    12     7     0     0
             N1XCS11    12     7     0     0
             N1XCS12    12     7     0     0
              N1XCS8    12     7     0     0
              N1XCS7    12     7     0     0
              N2XCS6    12     7     0     0
              N2XCS5    12     7     0     0
              N2XCS7    12     7     0     0
              N2XCS8    12     7     0     0
              N2XCS9    12     7     0     0
              N2XCS4    12     7     0     0
                A2R5    12     7     0     0
                A2R5    12     7     0     0
             N1XCS41    12     7     0     0
                N4X1    14    11     0     0
                N3X1    14    11     0     0
                N5X1    14    11     0     0
                N4X2    14    11     0     0
                N3X2    14    11     0     0
                N5X2    14    11     0     0
               N10X1    14    11     0     0
                N9X1    14    11     0     0
               N10X2    14    11     0     0
                N9X2    14    11     0     0
               N15X2    14    11     0     0
               N18X2    14    11     0     0
               N19X2    14    11     0     0
               N13X1    14    11     0     0
               N12X1    14    11     0     0
               N13X2    14    11     0     0
               N12X2    14    11     0     0
                 CHN    14    10     0     0
                 ANT    14    10     0     0
               E8VN1    14    10     0     0
               E2VN1    14    10     0     0
               E1VN2    14    10     0     0
               E3VN2    14    10     0     0
               ACNV2    14    10     0     0
             N1XCS13    14     9     0     0
             N1XCS29    14     9     0     0
             N1XCS28    14     9     0     0
             N2XCS31    14     9     0     0
             N2XCS32    14     9     0     0
             N2XCS29    14     9     0     0
             N2XCS28    14     9     0     0
             N2XCS34    14     9     0     0
             N2XCS33    14     9     0     0
             N2XCS36    14     9     0     0
             N2XCS43    14     9     0     0
             N2XCS26    14     9     0     0
             N2XCS25    14     9     0     0
             N1XCS17    14     9     0     0
             N1XCS18    14     9     0     0
             N1XCS19    14     9     0     0
             N1XCS14    14     9     0     0
             N2XCS14    14     9     0     0
             N2XCS15    14     9     0     0
             N1XCS48    14     9     0     0
             N1XCS42    14     9     0     0
             N1XCS49    14     9     0     0
             N1XCS50    14     9     0     0
             N1XCS31    14     9     0     0
             N1XCS44    14     9     0     0
             N1XCS45    14     9     0     0
             N1XCS32    14     9     0     0
             N2XCS18    14     8     0     0
             N2XCS20    14     8     0     0
             N1XCS23    14     8     0     0
             N2XCS23    14     8     0     0
             N1XCS26    14     8     0     0
             N2XCS19    14     8     0     0
             N2XCS24    14     8     0     0
             N2XCS21    14     8     0     0
             N1XCS22    14     8     0     0
             N2XCS22    14     8     0     0
                A2R5    14     8     0     0
                A2R5    14     8     0     0
             N1XCS47    14     8     0     0
              A2DIR5    14     8     0     0
              C20H14    20    14     0     0
              C20H14    20    14     0     0
              C20H14    20    14     0     0
            A1CHCCH2     9     8     0     0
             A1CCCH2     9     7     0     0
            A1CH2CCH     9     8     0     0
             A1CHCCH     9     7     0     0
            A1CHCCH3     9     9     0     0
             A1CCCH3     9     8     0     0
              A1C3H5     9    10     0     0
              A1C3H5     9    10     0     0
               PBZJA     9    11     0     0
               PBZJB     9    11     0     0
               PBZJC     9    11     0     0
            COA1C3H4     9     9     1     0
